speaker,final_accumulative_sentiment,final_average_sentiment
leaf,5.644089341163635,0.2
talla,-2.0212072134017944,0.0
melessa,16.806592613458633,0.2857142857142857
clarenzo,7.251812696456909,0.25
bobono,10.50470495223999,0.125
bianca,4.240137457847595,0.14285714285714285
camello,5.648573637008667,0.058823529411764705
izembaro,-1.5468664765357971,0.0
high sparrow,53.64519518613815,0.15217391304347827
margaery,232.034401897341,0.19285714285714287
dim dalba,-6.440779685974121,-1.0
wun wun,-3.52534419298172,-1.0
lothar,-4.934006780385971,-0.23076923076923078
ray,-17.291614770889282,-0.23529411764705882
lady crane,-7.04389551281929,0.045454545454545456
gatins,4.10923570394516,-0.1111111111111111
red priestess,3.850524663925171,1.0
tommen,19.116232126951218,0.025210084033613446
brynden,-35.71315195038915,-0.12
lem,-5.158565282821656,-0.6666666666666666
waif,-80.17657116055489,-0.48
jaqen,-28.054491255432367,-0.13333333333333333
belicho,2.5853997468948364,0.0
razdal,-12.105708837509155,-0.42857142857142855
yezzan,-3.977559447288514,-0.14285714285714285
smalljon,6.042618811130524,0.058823529411764705
jon snow,-33.57721724361181,-0.10655737704918032
ramsay,104.45169446989894,0.0962962962962963
walder frey,-12.812583804130554,-0.25
petyr,5.652943432331085,-0.02857142857142857
hot pie,-28.864916019141674,-0.2328767123287671
robett glover,-4.155628681182861,-1.0
nymeria,-10.565317571163177,-0.3333333333333333
obara,9.018531650304794,0.1111111111111111
ellaria,-12.79393893480301,-0.11475409836065574
melisandre,155.03906619921327,0.16299559471365638
tyene,-9.402746200561525,-0.2413793103448276
olenna,-72.7550056334585,-0.15151515151515152
tycho,39.85820800065994,0.29411764705882354
meera,-55.77897669374943,-0.17307692307692307
randyll,-3.73070028051734,-0.06666666666666667
dickon,-8.945443838834763,-0.17647058823529413
guard 1,-8.114360332489014,-0.3333333333333333
guard 2,-10.577063143253326,-0.6
thoros,-38.78362737596035,-0.1650485436893204
soldier,37.151115491986275,0.25925925925925924
harrag,-4.8829251527786255,-0.1111111111111111
rhaegar,3.455238103866577,1.0
